Date,open,close,high,low,volume,money
2022/5/26,3987.68,3993.04,4015.75,3938.24,12626368900,2.16987E+11
2022/5/27,4022.71,4001.3,4051.14,3983.38,11276933700,2.06944E+11
2022/5/30,4020.86,4029.02,4040.82,4003.38,11115224100,2.11145E+11
2022/5/31,4031.76,4091.52,4096.2,4020.38,13541551300,2.6777E+11
2022/6/1,4086.62,4083.18,4094.9,4058.85,11485087900,2.25416E+11
2022/6/2,4064,4089.57,4091.15,4057.91,11389363800,2.22658E+11
2022/6/6,4090.53,4166.09,4166.62,4063.91,16787101100,3.24076E+11
2022/6/7,4165.69,4179.13,4198.09,4155.17,14299288100,2.85734E+11
2022/6/8,4187.15,4219.81,4224.81,4158.03,15737405700,3.1948E+11
2022/6/9,4211.72,4175.67,4227.45,4160.88,16844915400,2.85173E+11
2022/6/10,4145.65,4238.99,4241.35,4140.22,18479621400,3.24091E+11
2022/6/13,4194.46,4189.35,4218.23,4156.71,16847562200,3.36586E+11
2022/6/14,4143.22,4222.31,4224.09,4102.93,17138590400,3.35419E+11
2022/6/15,4228.29,4278.22,4348.42,4228.29,25704659000,4.59767E+11
2022/6/16,4282.08,4250.06,4302.92,4241.08,18407441600,3.37236E+11
2022/6/17,4219.23,4309.04,4318.77,4218.68,15864909800,3.46676E+11
2022/6/20,4322.83,4330.43,4368.36,4297.89,16566638200,3.59569E+11
2022/6/21,4327.92,4325.57,4357.34,4287.14,16466761500,3.17163E+11
2022/6/22,4331.9,4270.62,4333.18,4269.25,15856585400,2.98656E+11
2022/6/23,4277.96,4343.88,4343.88,4260.9,17088236000,3.27145E+11
2022/6/24,4354.55,4394.77,4400.69,4346.12,16897219900,3.56055E+11
2022/6/27,4414.33,4444.26,4472.69,4414.33,17738567600,3.81433E+11
2022/6/28,4442.58,4490.52,4497.89,4407.35,17475648900,3.61686E+11
2022/6/29,4472.73,4421.36,4503.13,4414,18727668800,3.95926E+11
2022/6/30,4418.07,4485.01,4515,4418.07,15666628900,3.54344E+11
2022/7/1,4489.52,4466.72,4500.99,4449.29,14477959900,3.18492E+11
2022/7/4,4447.22,4496.03,4496.03,4427.82,14634565100,3.56969E+11
2022/7/5,4505.46,4489.54,4530.32,4439.45,15496241500,3.61892E+11
2022/7/6,4475.48,4423.97,4484.36,4393.42,14980023500,3.44673E+11
2022/7/7,4425.28,4443.47,4457.34,4391.19,13266090600,3.28133E+11
2022/7/8,4468.06,4428.78,4479.49,4426.89,12319573900,3.04031E+11
2022/7/11,4406.15,4354.62,4406.15,4330.58,13444857800,2.99195E+11
2022/7/12,4352.65,4313.62,4370.34,4296.62,13018783800,2.91072E+11
2022/7/13,4313.36,4321.46,4341.47,4284.94,13111317900,2.86076E+11
2022/7/14,4308.82,4322.07,4352.1,4292.76,14525092600,3.0157E+11
2022/7/15,4299.47,4248.53,4344.86,4248.53,15021445300,3.16793E+11
2022/7/18,4262.15,4292.59,4300.78,4217.51,12260119200,2.81055E+11
2022/7/19,4288.44,4269.34,4288.44,4238.82,10380573000,2.31118E+11
2022/7/20,4291.28,4283.8,4303.37,4269.97,9449014400,2.12302E+11
2022/7/21,4270.36,4236.06,4283.15,4236.05,11715634400,2.39228E+11
2022/7/22,4251.79,4238.23,4275.47,4207.31,10384062400,2.24295E+11
2022/7/25,4233.93,4212.64,4234.84,4201.92,8363666400,1.88136E+11
2022/7/26,4220.09,4245.98,4259.99,4214.53,8582327400,1.97601E+11
2022/7/27,4236.15,4225.04,4242.1,4217.28,7890494000,1.94245E+11
2022/7/28,4242.27,4225.67,4267.92,4223.03,10753193000,2.43871E+11
2022/7/29,4226.42,4170.1,4243.51,4160.87,11417928600,2.53199E+11
2022/8/1,4160.65,4188.68,4196.57,4129.45,10774902900,2.51125E+11
2022/8/2,4144.38,4107.02,4144.38,4071.43,14222442500,2.81014E+11
2022/8/3,4114.83,4066.98,4150.98,4058.18,11666612400,2.68696E+11
2022/8/4,4089.44,4101.54,4108.16,4064.66,8953264400,2.16899E+11
2022/8/5,4109.63,4156.91,4159.48,4097.86,10257100400,2.47326E+11
2022/8/8,4142.11,4148.07,4155.73,4135.08,9020813800,2.24081E+11
2022/8/9,4143.67,4156.29,4161.81,4131.43,8413695900,2.14224E+11
2022/8/10,4149.21,4109.74,4160.79,4092.55,8556583900,2.17447E+11
2022/8/11,4130.74,4193.54,4193.81,4116.06,12138505100,2.69631E+11
2022/8/12,4185.42,4191.15,4202.47,4175.05,10680829500,2.19208E+11
2022/8/15,4180,4185.68,4219.92,4174.3,10589849500,2.4554E+11
2022/8/16,4190.53,4177.84,4208.8,4170.52,9390613900,2.33819E+11
2022/8/17,4182.57,4216.96,4222.79,4155.17,11286465900,2.52044E+11
2022/8/18,4205.79,4180.1,4211.91,4173.54,10105265000,2.33115E+11
2022/8/19,4174.55,4151.07,4185.66,4151.07,11740297800,2.62494E+11
2022/8/22,4135.16,4181.4,4183.65,4134.2,11244272000,2.59747E+11
2022/8/23,4175.53,4161.08,4187.39,4147.41,10315351200,2.39101E+11
2022/8/24,4168.58,4082.42,4174.16,4079.09,11906967900,2.62844E+11
2022/8/25,4093.29,4116.24,4119.62,4058.75,11132074500,2.4215E+11
2022/8/26,4127.81,4107.55,4139.79,4102.68,9900049300,2.25519E+11
2022/8/29,4063.88,4089.52,4092.95,4059.6,9435443200,2.03086E+11
2022/8/30,4088.53,4075.79,4093.14,4048.52,9330166200,1.92649E+11
2022/8/31,4057.14,4078.84,4112.85,4046.62,13244976500,2.92975E+11
2022/9/1,4066.19,4043.74,4090.89,4041.13,9738707100,2.10899E+11
2022/9/2,4054.84,4023.61,4056.18,4004.91,8678927800,1.84468E+11
